,H,RT,U,O,RC,A,S
0,0.7563274098007539,0.004038772213247173,0.20005385029617662,0.0008077544426494346,0.019655358104469573,0.007269789983844911,0.011847065158858373
1,0.7349750806215186,0.0,0.2357080035180299,0.0,0.014072119613016711,0.0,0.01524479624743477
2,0.746606334841629,0.0,0.2171945701357466,0.0,0.013951734539969835,0.0,0.0222473604826546
3,0.7305494505494505,0.0,0.22637362637362637,0.0,0.014505494505494506,0.0,0.02857142857142857
4,0.7278627723690311,0.0,0.23968474733426054,0.0,0.010199350950394067,0.0,0.022253129346314324
5,0.7339304531085353,0.0,0.2249736564805058,0.0,0.015806111696522657,0.0,0.02528977871443625
6,0.7062118126272913,0.0,0.24389002036659876,0.0,0.020366598778004074,0.0,0.029531568228105907
7,0.5339041095890411,0.0,0.41575342465753423,0.0,0.03595890410958904,0.0,0.014383561643835616
8,0.5710659898477157,0.0007251631617113851,0.37527193618564175,0.0,0.05293691080493111,0.0,0.0
9,0.4805355814530127,0.014381353830895116,0.4356558393255641,0.0,0.06942722539052815,0.0,0.0
10,0.4928327645051195,0.026848691695108076,0.41023890784982936,0.0,0.0696245733788396,0.0,0.0004550625711035267
11,0.4842752962625342,0.006608933454876937,0.41408386508659983,0.009343664539653601,0.06814038286235187,0.0,0.01754785779398359
12,0.5342672413793104,0.0023706896551724138,0.3579741379310345,0.008836206896551724,0.08793103448275862,0.0,0.008620689655172414
13,0.5363372093023255,0.0,0.3369670542635659,0.008236434108527133,0.09714147286821706,0.0014534883720930232,0.01986434108527132
14,0.5421745490004876,0.013164310092637738,0.31155533885909314,0.007069722086786933,0.090931253047294,0.019990248659190638,0.015114578254509995
15,0.4942303505334204,0.004136729806226867,0.3474853037230568,0.0063139560200304815,0.12083605486610059,0.02155453951665578,0.0054430655345090355
16,0.46422142214221424,0.0063006300630063005,0.36543654365436545,0.0036003600360036,0.14086408640864087,0.010351035103510351,0.009225922592259225
17,0.4010360457586877,0.004316857327865314,0.4319015756529247,0.0025901143967191884,0.1359810058277574,0.01661990071228146,0.0075545003237643
18,0.47265948632974314,0.00020712510356255177,0.37821043910521956,0.004763877381938691,0.10853355426677713,0.008699254349627174,0.026926263463131733
19,0.505298273155416,0.017464678178963893,0.3563579277864992,0.004120879120879121,0.04395604395604396,0.011381475667189953,0.06142072213500785
20,0.5597340536048203,0.013297319758986079,0.26469977145231666,0.01724496156243507,0.07521296488676502,0.007895283606897984,0.06191564512777893
21,0.6329219828487764,0.007529805480025099,0.23948964651746496,0.0016732901066722444,0.06881405563689605,0.018406191173394686,0.03116502823677055
22,0.7007778317938745,0.013368983957219251,0.18740884783665532,0.0007292173067574137,0.05566358774914924,0.014584346135148274,0.027467185221195917
23,0.7274590163934426,0.0,0.20081967213114754,0.0,0.03483606557377049,0.01716188524590164,0.019723360655737706
