,user,hour,labels,weekday,day_type,charging_type,bluetooth,wifi,charging_status,clusters,daytime,prev_cluster,next_cluster
101,user_18,18,121,4,WD,2,3,2,2,5,4,5,2
102,user_18,20,123,1,WD,1,3,1,1,2,5,5,2
103,user_18,14,123,4,WD,1,3,1,1,2,3,2,5
104,user_18,9,122,2,WD,1,3,1,1,5,2,2,5
105,user_18,14,124,4,WD,1,3,1,1,5,3,5,3
106,user_21,14,135,1,WD,2,4,2,2,3,3,5,3
107,user_21,21,135,0,WD,1,4,2,1,3,5,3,1
108,user_21,23,136,1,WD,1,4,1,1,1,5,3,1
109,user_21,1,136,1,WD,2,4,2,2,1,6,1,3
110,user_21,11,137,2,WD,1,4,2,1,3,2,1,3
111,user_21,12,138,2,WD,1,4,1,1,3,3,3,1
112,user_21,15,140,5,WD,1,4,1,1,1,3,3,1
113,user_21,13,142,1,WD,1,4,1,1,1,3,1,2
114,user_21,9,144,1,WD,1,4,2,1,2,2,1,2
115,user_21,11,144,1,WD,1,4,1,1,2,2,2,1
116,user_23,17,146,0,WD,1,1,2,1,1,4,2,1
117,user_23,21,146,0,WD,1,5,2,1,1,5,1,5
118,user_23,19,147,0,WD,1,1,1,1,5,4,1,5
119,user_23,11,147,6,WE,1,1,1,1,5,2,5,1
120,user_23,19,148,0,WD,1,1,1,1,1,4,5,1
121,user_23,10,148,6,WE,1,1,1,1,1,2,1,5
122,user_23,19,149,0,WD,1,1,1,1,5,4,1,5
123,user_23,11,154,6,WE,1,1,1,1,5,2,5,7
124,user_23,11,155,5,WD,1,1,1,1,7,2,5,7
125,user_23,12,155,5,WD,1,1,1,1,7,3,7,1
126,user_23,12,156,5,WD,1,1,1,1,1,3,7,1
127,user_23,14,157,5,WD,1,1,1,1,1,3,1,3
128,user_5,14,163,1,WD,1,4,2,1,3,3,1,3
129,user_5,19,164,4,WD,1,5,1,1,3,4,3,7
130,user_5,19,165,3,WD,1,4,1,1,7,4,3,7
131,user_5,20,165,3,WD,1,4,1,1,7,5,7,3
132,user_5,11,166,4,WD,1,5,2,1,3,2,7,3
133,user_5,12,167,4,WD,1,5,1,1,3,3,3,1
134,user_5,20,168,4,WD,1,5,1,1,1,5,3,1
135,user_5,20,168,4,WD,1,5,1,1,1,5,1,3
136,user_8,16,181,0,WD,1,4,2,1,3,4,1,3
137,user_8,14,181,2,WD,1,3,1,1,3,3,3,1
