,loss,accuracy,epoch
0,1.0329852104187012,0.5736193656921387,1
1,0.7170985341072083,0.7090373039245605,2
2,0.35623547434806824,0.8555352687835693,3
3,0.2876434028148651,0.8754570484161377,4
4,0.264544278383255,0.8854967951774597,5
5,0.2512624263763428,0.8888381123542786,6
6,0.24432632327079773,0.8905560374259949,7
7,0.2378561943769455,0.8923685550689697,8
8,0.23587776720523834,0.891911506652832,9
9,0.23584753274917603,0.8926364779472351,10
10,0.229514941573143,0.8944174647331238,11
11,0.22821374237537384,0.8953946828842163,12
12,0.22583037614822388,0.8942914009094238,13
13,0.23483146727085114,0.8928886651992798,14
14,0.22880731523036957,0.8943701982498169,15
15,0.22227898240089417,0.8956310749053955,16
16,0.2204483449459076,0.8959462642669678,17
17,0.2241280972957611,0.8961827158927917,18
18,0.21910947561264038,0.8973174691200256,19
19,0.2506803870201111,0.8867261409759521,20
20,0.22024808824062347,0.8958674669265747,21
21,0.21847741305828094,0.8965924978256226,22
22,0.22010309994220734,0.8961196541786194,23
23,0.2171645611524582,0.896813154220581,24
24,0.2148217111825943,0.8978691101074219,25
25,0.21558736264705658,0.8980582356452942,26
26,0.21957643330097198,0.8975381255149841,27
27,0.21454039216041565,0.8974908590316772,28
28,0.21395312249660492,0.8997762203216553,29
29,0.22186200320720673,0.8957098722457886,30
30,0.2160874456167221,0.8983576893806458,31
31,0.21129736304283142,0.8979794383049011,32
32,0.21015502512454987,0.9000914096832275,33
33,0.21237637102603912,0.8997131586074829,34
34,0.21163418889045715,0.8984995484352112,35
35,0.21279361844062805,0.8987360000610352,36
36,0.2104737013578415,0.8991142511367798,37
37,0.21544255316257477,0.898704469203949,38
38,0.2104145735502243,0.8998234868049622,39
39,0.20699195563793182,0.9012262225151062,40
40,0.20892949402332306,0.9011000990867615,41
41,0.2065662443637848,0.9000283479690552,42
42,0.2137090116739273,0.898909330368042,43
43,0.2087116688489914,0.9001702070236206,44
44,0.20540010929107666,0.9014941453933716,45
45,0.2076091468334198,0.9002805352210999,46
46,0.2086229771375656,0.9007849097251892,47
47,0.20722109079360962,0.9005169868469238,48
48,0.20664677023887634,0.9009425044059753,49
49,0.20591840147972107,0.9010213017463684,50
50,0.2047114223241806,0.9004066586494446,51
51,0.2042643129825592,0.9010213017463684,52
52,0.2057812511920929,0.9012576937675476,53
53,0.22136829793453217,0.8965452313423157,54
54,0.2038915902376175,0.9021087884902954,55
55,0.2021738588809967,0.900958240032196,56
56,0.20224833488464355,0.9015729427337646,57
57,0.2029522955417633,0.9016675353050232,58
58,0.20416511595249176,0.9012262225151062,59
59,0.20624464750289917,0.9008479118347168,60
60,0.20442670583724976,0.9008479118347168,61
61,0.20439420640468597,0.90132075548172,62
62,0.2035181224346161,0.9011000990867615,63
63,0.20714405179023743,0.9004854559898376,64
64,0.20295003056526184,0.9019511938095093,65
65,0.20200923085212708,0.9003593325614929,66
66,0.20345300436019897,0.9013050198554993,67
67,0.21316629648208618,0.8999022841453552,68
68,0.21162955462932587,0.900312066078186,69
69,0.20431092381477356,0.9013838171958923,70
70,0.2083258032798767,0.9008164405822754,71
71,0.20658887922763824,0.900312066078186,72
72,0.20223775506019592,0.9021087884902954,73
73,0.20530804991722107,0.9002490043640137,74
74,0.20136871933937073,0.90119469165802,75
75,0.20333170890808105,0.9015729427337646,76
76,0.20088423788547516,0.9025658965110779,77
77,0.20036108791828156,0.9022979736328125,78
78,0.20235949754714966,0.9026131629943848,79
79,0.20497609674930573,0.9012104272842407,80
